pcr_date,pcr_primer,sample,Sample,Cq,Cq_sd,nsamps,Cq_cv,Cq_relative,Cq_relative_sd3,Cq_relative_087
11/12/20,telo,65,T_547,14.00074469,0.108150977,2,0.772465887,0.966155349,0.930690025,1.1174457
11/12/20,telo,66,T_548,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,67,T_549,14.16511395,0.018740609,2,0.13230115,0.977498049,0.941616361,1.130564554
11/12/20,telo,68,T_550,14.15144088,0.116893411,3,0.826017734,0.976554505,0.940707452,1.129473261
11/12/20,telo,69,T_551,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,70,T_552,15.02628105,0.135188222,3,0.899678511,1.036924973,0.99886186,1.199297146
11/12/20,telo,71,T_553,14.00239993,0.138567207,2,0.989596124,0.966269573,0.930800056,1.11757781
11/12/20,telo,72,T_554,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,73,T_555,15.5744328,0.077309774,2,0.496389017,1.074751515,1.035299877,1.243046948
11/12/20,telo,74,T_556,15.32629606,0.153998713,2,1.004800589,1.057628237,1.018805155,1.223242335
11/12/20,telo,75,T_557,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,76,T_558,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,77,T_559,16.43043736,0.111831379,2,0.680635434,1.133822186,1.092202201,1.311367501
11/12/20,telo,78,T_560,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,79,T_561,15.25434755,0.141390594,3,0.926887195,1.052663255,1.014022426,1.217499886
11/12/20,telo,80,T_562,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,81,T_563,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,82,T_564,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,83,T_565,15.12542953,0.162134095,2,1.071930519,1.043766955,1.005452689,1.207210513
11/12/20,telo,84,T_566,15.48141509,0.137715456,2,0.889553411,1.068332602,1.029116588,1.235622898
11/12/20,telo,85,T_087,12.5292394,0.155638916,3,1.242205624,0.864610557,0.832872707,1
11/12/20,telo,86,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,87,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,88,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,89,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,90,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,91,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,92,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,93,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,94,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,95,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,96,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,97,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,98,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,99,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,100,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,101,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,102,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,103,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,104,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,105,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,106,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,107,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,108,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,109,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,110,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,111,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,112,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,113,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,114,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,115,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,116,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,117,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,118,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,119,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,120,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,121,,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,122,H20,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,123,Std1,12.03270701,0.20105686,3,1.670919599,0.830346135,0.799866053,0.960370109
11/12/20,telo,124,Std2,NA,NA,NA,NA,NA,NA,NA
11/12/20,telo,125,Std3,15.04340254,0.022637686,2,0.150482483,1.038106483,1,1.200663668
11/12/20,telo,126,Std4,16.81608985,0.243192263,3,1.446187936,1.160435071,1.117838189,1.3421477
11/12/20,telo,127,Std5,18.26427389,0.230672792,3,1.262972692,1.260370523,1.214105243,1.457732054
11/12/20,telo,128,gold,14.4911941,0.168295945,3,1.161366989,1,0.963292318,1.156590088
